[2025-11-27 16:02:37.066] [info]  DiscordSplash.signalReady
[2025-11-27 16:02:37.135] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-11-27 16:02:37.137] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-11-27 16:02:37.139] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-11-27 16:02:37.140] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-11-27 16:02:37.143] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-11-27 16:02:37.144] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-11-27 16:02:37.145] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-11-27 16:02:37.146] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-11-27 16:02:37.162] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-11-27 16:02:37.167] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-11-27 16:02:37.192] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-11-27 16:02:37.193] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-11-27 16:02:37.194] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-11-27 16:02:37.195] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-11-27 16:02:37.648] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-11-27 16:02:37.649] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-11-27 16:02:38.065] [info]  Splash.updateCountdownSeconds: undefined
[2025-11-27 16:02:38.603] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-11-27 16:02:38.605] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-11-27 16:02:38.609] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-11-27 16:02:38.610] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-11-27 16:02:38.810] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-11-27 16:02:38.811] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-11-27 16:02:38.819] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-11-27 16:02:38.824] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-11-27 16:02:38.828] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2025-11-27 16:02:38.829] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2025-11-27 16:02:38.987] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2025-11-27 16:02:38.988] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2025-11-27 16:02:39.009] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
